comment_id,video_id,author,author_channel_url,published_at,updated_at,is_edited,like_count,text
UgynfqSYr60ISsDqQC94AaABAg,iRVVXaU6zGY,@aliabdullah8508,http://www.youtube.com/@aliabdullah8508,2026-09-12T12:41:33Z,2026-09-12T12:41:33Z,False,0,"My EPL predictions for week 4

Bournemouth 2-1 Brentford 
Aston Villa 2-2 Forest 
Chelsea 2-1 Hull City
C Palace 2-0 Ipswich 
Liverpool 3-1 Fulham
Tottenham 1-1 Everton 
Sunderland 0-2 Arsenal 
Coventry 0-1 Brighton 
Man Utd 2-1 Man City
Leeds Utd 1-2 Newcastle"
UgzfzJQAWzbnvo7hCM14AaABAg,iRVVXaU6zGY,@antoninomassimovadala7431,http://www.youtube.com/@antoninomassimovadala7431,2026-09-12T12:37:11Z,2026-09-12T12:37:11Z,False,0,"Aston Villa 3 Nottm Forest 1
Bournemouth 1 Brentford 1
Chelsea 3 Hull 0
Crystal Palace 2 Ipswich 1
Liverpool 3 Fulham 0
Tottenham 1 Everton 1
Sunderland 1 Arsenal 2
Coventry 0 Brighton 2
Man United 2 Man City 1
Leeds 1 Newcastle 1"
Ugz6D6z9E4OcpoZ3yh14AaABAg,iRVVXaU6zGY,@elias6126,http://www.youtube.com/@elias6126,2026-09-12T12:24:25Z,2026-09-12T12:24:25Z,False,0,"aston villa 2-1 forest
bournemouth 2-2 brentford
chelsea 4-2 hull
crystal palace 1-1 ipswich
liverpool 4-1 fulham
tottenham 2-1 everton
sunderland 0-2 arsenal
coventry 1-1 brighton
man utd 2-3 man city 
leeds 3-2 newcastle"
UgwTnNp0gH3z9XeAAq14AaABAg,iRVVXaU6zGY,@28thJanuary2o17,http://www.youtube.com/@28thJanuary2o17,2026-09-12T12:08:46Z,2026-09-12T12:08:46Z,False,0,"Aston Villa 0-0 Nottingham Forest
Bournemouth 2-1 Brentford
Chelsea 0-1 Hull City
Crystal Palace 2-3 Ipswich
Liverpool 2-2 Fulham 
Spurs 0-4 Everton
Sunderland 1-3 Arsenal
Coventry 1-2 Brighton
Man United 1-1 Man City
Leeds 2-1 Newcastle"
UgwI-yKyLIsZkvN5D8Z4AaABAg,iRVVXaU6zGY,@doog-2,http://www.youtube.com/@doog-2,2026-09-12T12:06:17Z,2026-09-12T12:06:17Z,False,0,"Prem predictions!(GW4)
Villa 1 Forrest 1
Bournemouth 2 Brentford 1
Chelsea 3 hull 1
Palace 0 Ipswich 1
Liverpool 4 Fulhan 2
Tottenham 0 Everton 1
Sunderland 1 arsenal 3
Brighton 3 Coventry 0
Uinited 2 city 1
Leeds 1 Newcastle 1."
UgwgjJ3wyLupcRrZJkt4AaABAg,iRVVXaU6zGY,@pawaratharva6371,http://www.youtube.com/@pawaratharva6371,2026-09-12T11:43:16Z,2026-09-12T11:43:16Z,False,0,"Aston Villa 1-2 Forrest
Bournemouth 2 - 2 Brentford
Chelsea 2 - 1 Hull
Crystal Palace 2 - 2 Ipswich
Liverpool 1- 0  Fulham
Tottenham 2 - 1 Everton 
Sunderland 0 - 2 Arsenal
Coventry 1 - 3 Brighton
Man utd 2 - 1 Man City
Leeds 0 - 2 Newcastle"
UgyNGfNyiIlwdIdwiZN4AaABAg,iRVVXaU6zGY,@nguyencole6334,http://www.youtube.com/@nguyencole6334,2026-09-12T11:34:36Z,2026-09-12T11:34:36Z,False,0,"Villa 0-0 Forest
Bournemouth 1-1 Brentford
Chelsea 2-0 Hull 
Palace 2-1 Ispwich
Liverpool 2-0 Fullham
Tottenham 0-0 Everton
Sunderland 0-1 Arsenal
Coventry 0-1 Brighton
Man United 3-2 Man City
Leeds 1-1 Newcastle"
Ugz30WfRen3dfj0m5Sh4AaABAg,iRVVXaU6zGY,@spongeguybridankia8735,http://www.youtube.com/@spongeguybridankia8735,2026-09-12T11:33:45Z,2026-09-12T11:33:45Z,False,0,"Aston Villa 2 Nottingham Forest 1
Bournemouth 2 Brentford 2
Chelsea 4 Hull 1
Crystal Palace 1 Ipswich 1
Liverpool 2 Fulham 0
Tottenham 1 Everton 1 
Sunderland 0 Arsenal 3
Coventry 1 Brighton 2
Manchester United 1 Manchester City 3
Leeds 2 Newcastle 1"
UgzY02hQTNh09d198ah4AaABAg,iRVVXaU6zGY,@channelname9468,http://www.youtube.com/@channelname9468,2026-09-12T11:26:15Z,2026-09-12T11:26:15Z,False,0,"Aston Villa 1-0 Forrest
Bournemouth 2-2 Brentford
Chelsea 2-0 Hull
Crystal Palace 3-1 Ipswich
Liverpool 3-0 Fulham
Spurs 2-1 Everton
Arsenal 3-1 Sunderland
Coventry 1-2 Brighton
Man United 0-3 Man City
Leeds 2-1 Newcastle"
Ugx_8Y86NECg0yTFPE94AaABAg,iRVVXaU6zGY,@nickpro2899,http://www.youtube.com/@nickpro2899,2026-09-12T11:18:55Z,2026-09-12T11:18:55Z,False,0,"My predictions for Gameweek 4:

Aston Villa 2 Nottingham Forest 2
Bournemouth 1 Brentford 1
Chelsea 3 Hull 1
Crystal Palace 2 Ipswich 0
Liverpool 3 Fulham 1
Tottenham 2 Everton 1
Sunderland 0 Arsenal 2
Man Utd 2 Man City 1
Coventry 1 Brighton 3
Leeds 2 Newcastle 0"
Ugxvprws4l5FBfuQpYB4AaABAg,iRVVXaU6zGY,@6038am,http://www.youtube.com/@6038am,2026-09-12T11:13:40Z,2026-09-12T11:13:40Z,False,0,"Aston Villa 0 - 1 Forrest
Bournemouth 0 - 1 Brentford
Chelsea 4 - 3 Hull
Crystal Palace 1 - 1 Ipswich
Liverpool 2 - 0 Fulham
Tottenham 0 - 1 Everton
Sunderland 1 - 1 Arsenal
Coventry 1 - 2 Brighton
Man utd 1 - 0 Man City
Leeds 1 - 2 Newcastle"
UgzZ6UMibG8kiHed1Ux4AaABAg,iRVVXaU6zGY,@ГеоргиДимитров-н6л,http://www.youtube.com/@%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%94%D0%B8%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2-%D0%BD6%D0%BB,2026-09-12T11:13:11Z,2026-09-12T11:13:11Z,False,0,"Aston Villa 2:1 Forest
Bournemouth 1:1 Brentford
Chelsea 2:1 Hull
Crystal Palace 1:0 Ipswich
Liverpool 2:0 Fulham
Tottenham 1:1 Everton
Sunderland 1:2 Arsenal
Coventry 0:2 Brighton 
Man United 1:2 Man City
Leeds 1:2 Newcastle"
